"capability_id","phase_or_source","domain","capability","agenthub_status","agenthub_evidence","ragflow_fit","delegation_recommendation","ragflow_scope","gross_existing_loc_removable_est","future_loc_avoided_est","new_integration_loc_est","net_loc_reduction_est","estimate_confidence","estimate_basis","security_authorization_boundary","ragflow_official_evidence"
"CAP-001","Sprint 0","Platform","Django application foundation and service topology","verified","docs/tasks/sprint-0-foundation/plan.md; docs/tasks/sprint-0-foundation/verification.md","none","retain_agenthub","RAGFlow is an additional service rather than a replacement for the AgentHub control plane","0","0","0","0","high","Platform foundation is outside RAGFlow scope","AgentHub remains system of record and policy enforcement point","https://github.com/infiniflow/ragflow#self-hosting"
"CAP-002","Sprint 1; Phase 2.8 Part 2","Identity","Organizations memberships and active organization context","verified","docs/tasks/sprint-1-tenant-identity-catalog/plan.md; docs/planning/archive/phase-2-8-part-2-organization-access-management-2026-07-22/verification.md","none","retain_agenthub","RAGFlow team features do not establish AgentHub organization and object authorization semantics","0","0","80","-80","high","Small identity-to-RAGFlow service-account mapping adapter only","Never trust RAGFlow team membership as AgentHub authorization","https://ragflow.io/docs/category/user-guides"
"CAP-003","Phase 2.8 Part 2.1","Authorization","Scoped capability decisions role assignments and exceptional superadmin recovery","verified","docs/planning/archive/phase-2-8-part-2-1-scoped-authorization-superadmin-recovery-2026-07-24/plan.md; docs/planning/archive/phase-2-8-part-2-1-scoped-authorization-superadmin-recovery-2026-07-24/verification.md","none","retain_agenthub","No equivalent evidence for AgentHub object action tenant and field-level decisions","0","0","80","-80","high","Only outbound authorization context propagation is added","All RAGFlow calls must follow an AgentHub allow decision","https://ragflow.io/docs/category/user-guides"
"CAP-004","Phase 2.5 Part 2","Identity","System-generated stable identifiers and creation contracts","verified","docs/planning/archive/phase-2-5-part-2-system-identifiers-2026-07-15/plan.md; docs/planning/archive/phase-2-5-part-2-system-identifiers-2026-07-15/verification.md","none","retain_agenthub","Keep AgentHub IDs and store opaque RAGFlow resource IDs as mappings","0","0","100","-100","high","Mapping table and reconciliation logic","Do not expose or accept client-selected tenant resource mappings","https://github.com/infiniflow/ragflow"
"CAP-005","Sprint 2; Phase 2.5","Artifacts","Immutable versioned artifact catalog","verified","docs/tasks/sprint-2-artifacts-releases/plan.md; docs/tasks/sprint-2-artifacts-releases/verification.md","low","retain_agenthub","RAGFlow agent export/version history is adjacent but not a substitute for the cross-artifact catalog","80","0","160","-80","medium","Only RAG-specific payload storage could move","AgentHub retains immutable manifests ownership and audit","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-006","Sprint 2; Sprint 6","Releases","Deterministic release compilation promotion canary and rollback","verified","docs/tasks/sprint-2-artifacts-releases/verification.md; docs/tasks/sprint-6-eval-promotion-rollback/verification.md","low","retain_agenthub","RAGFlow app rollback is useful internally but cannot replace AgentHub release gates","100","0","180","-80","medium","Possible removal of provider-specific packaging only","Promotion authority and rollback audit remain in AgentHub","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-007","Phase 2.5 Part 3","Credentials","Consumer ownership API credential issue revoke disable and restore","verified","docs/tasks/phase-2-5-part-3-ownership-credentials/plan.md; docs/tasks/phase-2-5-part-3-ownership-credentials/verification.md","none","retain_agenthub","RAGFlow API key is a downstream service credential only","0","0","120","-120","high","Secret reference plus rotation and health checking","Never return RAGFlow admin credentials to consumers","https://ragflow.io/docs/category/developer-guides"
"CAP-008","Sprint 3","Gateway","Authenticated invoke query status cancel and idempotency gateway","verified","docs/tasks/sprint-3-gateway-execution-context/plan.md; docs/tasks/sprint-3-gateway-execution-context/verification.md","partial","hybrid","Delegate RAG execution but retain public gateway contracts idempotency authorization and redaction","250","0","240","10","medium","Provider execution branch removed; adapter and state translation added","AgentHub authenticates authorizes and owns idempotency keys","https://github.com/infiniflow/ragflow#key-features"
"CAP-009","Phase 2.5 Part 8","API","OpenAI-compatible Chat and Responses invocation","verified","docs/tasks/phase-2-5-part-8-openai-compatible-invocation/plan.md; docs/tasks/phase-2-5-part-8-openai-compatible-invocation/verification.md","high","delegate_execution","Proxy compatible generation to RAGFlow while retaining AgentHub auth protocol parity and policy","320","0","180","140","medium","Existing protocol adapter partly replaced by a downstream client","Validate model scenario and dataset selection server-side","https://github.com/infiniflow/ragflow/blob/main/docs/release_notes.md"
"CAP-010","Sprint 4; Phase 2 P1","RAG","Grounded chat generation with citations and fallback","verified_offline","docs/tasks/sprint-4-rag-runtime/verification.md; docs/tasks/phase-2-p1-live-chat/verification.md","high","delegate_execution","Use RAGFlow chat or agent completion for retrieval-grounded generation","650","0","220","430","medium","RAG provider orchestration and citation assembly can shrink","Preserve prompt/data separation output filtering and audit correlation","https://github.com/infiniflow/ragflow#key-features"
